co2_hum,co2_ppm,co2_tmp,ec,ph,rpi_t,rtd_t,tsl
78.3966064453125,385.881591796875,12.946136474609375,0.6602,6.429,,12.843,0
78.36761474609375,383.2767333984375,12.946136474609375,0.6604,6.43,,12.842,0
,,,,,47.24,,
60.968017578125,350.97528076171875,22.901123046875,0.907,5.052,,19.319,65.32079999999996
